Detector,Event,Counter,StatusCode,Pdg,Energy,Vx,Vy,Vz,PhotonSum
N,0,60,975,2112,555.344,-0.0127661,0.0662082,-11261.2,440
P,0,60,975,2112,555.344,-0.0127661,0.0662082,-11261.2,3
N,0,61,974,2112,819.018,0.0388343,0.037056,-11261.2,622
P,0,61,974,2112,819.018,0.0388343,0.037056,-11261.2,5
N,0,62,973,2112,572.13,-0.0698043,-0.0134781,-11261.2,391
P,0,62,973,2112,572.13,-0.0698043,-0.0134781,-11261.2,4
N,0,63,972,2112,734.016,-0.0301945,-0.0534045,-11261.2,461
P,0,63,972,2112,734.016,-0.0301945,-0.0534045,-11261.2,7
N,0,64,971,2112,525.37,0.000380864,0.0688131,-11261.2,440
P,0,64,971,2112,525.37,0.000380864,0.0688131,-11261.2,9
N,0,65,970,2112,754.27,-0.0481257,0.0177267,-11261.2,564
P,0,65,970,2112,754.27,-0.0481257,0.0177267,-11261.2,3
N,0,66,1973614,211,134.899,-0.358887,-0.122831,-11261.2,81
P,0,66,1973614,211,134.899,-0.358887,-0.122831,-11261.2,3
N,0,67,1990555,22,13.7649,0.466939,-3.4355,-11261.2,7
P,0,67,1990555,22,13.7649,0.466939,-3.4355,-11261.2,0
N,0,68,1993621,22,0.00271466,-1.674,-3.45272,-11297.8,0
P,0,68,1993621,22,0.00271466,-1.674,-3.45272,-11297.8,0
N,0,69,1993663,-11,0.00783376,0.874329,-3.44831,-11322.1,0
P,0,69,1993663,-11,0.00783376,0.874329,-3.44831,-11322.1,0
N,0,70,1993703,22,0.00100377,0.240165,-3.1312,-11299.1,0
P,0,70,1993703,22,0.00100377,0.240165,-3.1312,-11299.1,0
N,0,71,1993744,22,0.00631645,0.561785,-3.45532,-11294.1,0
P,0,71,1993744,22,0.00631645,0.561785,-3.45532,-11294.1,0
N,0,72,1993743,22,0.00266343,14.933,-3.4112,-11307.3,0
P,0,72,1993743,22,0.00266343,14.933,-3.4112,-11307.3,0
N,0,73,1993758,22,0.00340281,0.704021,-3.27827,-11302.5,0
P,0,73,1993758,22,0.00340281,0.704021,-3.27827,-11302.5,0
N,0,74,1993762,22,0.00104658,-3.43813,-3.12946,-11309,0
P,0,74,1993762,22,0.00104658,-3.43813,-3.12946,-11309,0
N,0,75,1993760,11,0.00613386,-3.28178,-3.45369,-11300.9,0
P,0,75,1993760,11,0.00613386,-3.28178,-3.45369,-11300.9,0
N,0,76,1993818,22,0.00148573,-2.15442,-2.80477,-11320.5,0
P,0,76,1993818,22,0.00148573,-2.15442,-2.80477,-11320.5,0
N,0,77,1993817,22,0.0162989,-1.82914,-3.28674,-11320.5,0
P,0,77,1993817,22,0.0162989,-1.82914,-3.28674,-11320.5,0
N,0,78,1993822,22,0.0018841,-1.69328,-3.52405,-11320.2,0
P,0,78,1993822,22,0.0018841,-1.69328,-3.52405,-11320.2,0
N,0,79,1993824,11,0.00544353,-1.83447,-3.55743,-11319.3,0
P,0,79,1993824,11,0.00544353,-1.83447,-3.55743,-11319.3,0
N,0,80,1993828,-11,0.0573091,-2.01605,-3.43954,-11334.4,0
P,0,80,1993828,-11,0.0573091,-2.01605,-3.43954,-11334.4,0
N,0,81,1993827,11,0.00423796,-2.06875,-3.52482,-11334.3,0
P,0,81,1993827,11,0.00423796,-2.06875,-3.52482,-11334.3,0
N,0,82,1993872,22,0.00240304,-3.52758,-3.41642,-11307.2,0
P,0,82,1993872,22,0.00240304,-3.52758,-3.41642,-11307.2,0
N,0,83,1993871,22,0.00405116,-3.52483,-3.2756,-11308.2,0
P,0,83,1993871,22,0.00405116,-3.52483,-3.2756,-11308.2,0
N,0,84,1993899,22,0.00188437,-2.7233,-3.52328,-11316.7,0
P,0,84,1993899,22,0.00188437,-2.7233,-3.52328,-11316.7,0
N,0,85,1993892,22,0.00197414,1.68082,-3.45514,-11319.1,0
P,0,85,1993892,22,0.00197414,1.68082,-3.45514,-11319.1,0
N,0,86,1993942,22,0.00135117,0.886812,-2.48613,-11354.9,0
P,0,86,1993942,22,0.00135117,0.886812,-2.48613,-11354.9,0
N,0,87,1993996,22,0.0036081,-3.10476,-3.27653,-11303,0
P,0,87,1993996,22,0.0036081,-3.10476,-3.27653,-11303,0
N,0,88,1994057,22,0.00596059,1.83437,-3.28593,-11306.1,0
P,0,88,1994057,22,0.00596059,1.83437,-3.28593,-11306.1,0
N,0,89,1994122,11,0.00160782,-1.05098,-3.12041,-11332,0
P,0,89,1994122,11,0.00160782,-1.05098,-3.12041,-11332,0
N,0,90,1994124,-11,0.0188227,-1.51126,-3.44302,-11311.9,0
P,0,90,1994124,-11,0.0188227,-1.51126,-3.44302,-11311.9,0
N,0,91,1994167,22,0.00100151,-2.48655,-3.45606,-11312,0
P,0,91,1994167,22,0.00100151,-2.48655,-3.45606,-11312,0
N,0,92,1994166,22,0.00317237,-1.36661,-3.13171,-11311.4,0
P,0,92,1994166,22,0.00317237,-1.36661,-3.13171,-11311.4,0
N,0,93,1994196,-11,0.00268361,-0.0757749,-3.44904,-11354,0
P,0,93,1994196,-11,0.00268361,-0.0757749,-3.44904,-11354,0
N,0,94,1994232,22,0.00540482,1.66924,-3.28925,-11317.3,0
P,0,94,1994232,22,0.00540482,1.66924,-3.28925,-11317.3,0
N,0,95,1994225,22,0.00270837,0.728668,-3.29348,-11321.8,0
P,0,95,1994225,22,0.00270837,0.728668,-3.29348,-11321.8,0
N,0,96,1994289,22,0.00158969,-2.79424,-3.45282,-11354.5,0
P,0,96,1994289,22,0.00158969,-2.79424,-3.45282,-11354.5,0
N,0,97,1994270,22,0.00127917,1.99816,-2.1676,-11355.9,0
P,0,97,1994270,22,0.00127917,1.99816,-2.1676,-11355.9,0
N,0,98,1994339,22,0.00115127,-1.50758,-3.43804,-11309.9,0
P,0,98,1994339,22,0.00115127,-1.50758,-3.43804,-11309.9,0
N,0,99,1994346,22,0.0018371,-0.724165,-3.45188,-11332.9,0
P,0,99,1994346,22,0.0018371,-0.724165,-3.45188,-11332.9,0
N,0,100,1994380,22,0.00214083,-2.30787,-3.44411,-11298.8,0
P,0,100,1994380,22,0.00214083,-2.30787,-3.44411,-11298.8,0
N,0,101,1994437,22,0.00134178,-0.890308,-3.44123,-11338,0
P,0,101,1994437,22,0.00134178,-0.890308,-3.44123,-11338,0
N,0,102,1994451,22,0.00433467,-3.15332,-2.99877,-11361.3,0
P,0,102,1994451,22,0.00433467,-3.15332,-2.99877,-11361.3,0
N,0,103,1994481,22,0.00604223,1.02945,-3.4416,-11330.1,0
P,0,103,1994481,22,0.00604223,1.02945,-3.4416,-11330.1,0
N,0,104,1994393,22,0.00247639,-0.0702624,-3.13275,-11309.7,0
P,0,104,1994393,22,0.00247639,-0.0702624,-3.13275,-11309.7,0
N,0,105,1994515,22,0.00342725,-0.407137,-3.28905,-11330.9,0
P,0,105,1994515,22,0.00342725,-0.407137,-3.28905,-11330.9,0
N,0,106,1994523,22,0.00408748,1.18873,-3.11742,-11320.5,0
P,0,106,1994523,22,0.00408748,1.18873,-3.11742,-11320.5,0
N,0,107,1994533,22,0.00135772,-0.0930596,-3.11133,-11329.7,0
P,0,107,1994533,22,0.00135772,-0.0930596,-3.11133,-11329.7,0
N,0,108,1994532,22,0.00327674,-0.390594,-3.43176,-11329.2,0
P,0,108,1994532,22,0.00327674,-0.390594,-3.43176,-11329.2,0
N,0,109,1994548,22,0.00646876,-2.15021,-3.45196,-11308.3,0
P,0,109,1994548,22,0.00646876,-2.15021,-3.45196,-11308.3,0
N,0,110,1994593,22,0.00826013,-3.12853,-3.29024,-11313,0
P,0,110,1994593,22,0.00826013,-3.12853,-3.29024,-11313,0
N,0,111,1994592,22,0.00228302,-3.11751,-3.2871,-11313,0
P,0,111,1994592,22,0.00228302,-3.11751,-3.2871,-11313,0
N,0,112,1994599,22,0.0213334,-3.11269,-3.2838,-11313,0
P,0,112,1994599,22,0.0213334,-3.11269,-3.2838,-11313,0
N,0,113,1994590,22,0.00307875,-3.27092,-3.12565,-11313.3,0
P,0,113,1994590,22,0.00307875,-3.27092,-3.12565,-11313.3,0
N,0,114,1994589,22,0.0101996,-3.28174,-2.97178,-11313.6,0
P,0,114,1994589,22,0.0101996,-3.28174,-2.97178,-11313.6,0
N,0,115,1994588,22,0.00824462,-1.82723,-3.44955,-11314.5,0
P,0,115,1994588,22,0.00824462,-1.82723,-3.44955,-11314.5,0
N,0,116,1994612,22,0.00265462,-1.1923,-2.81023,-11321.3,0
P,0,116,1994612,22,0.00265462,-1.1923,-2.81023,-11321.3,0
N,0,117,1994611,22,0.012457,-1.99177,-3.12827,-11321.3,0
P,0,117,1994611,22,0.012457,-1.99177,-3.12827,-11321.3,0
N,0,118,1994580,22,0.00144102,-1.66436,-2.64248,-11305.4,0
P,0,118,1994580,22,0.00144102,-1.66436,-2.64248,-11305.4,0
N,0,119,1994646,22,0.00183757,-0.725025,-3.13124,-11302.5,0
P,0,119,1994646,22,0.00183757,-0.725025,-3.13124,-11302.5,0
N,0,120,1994793,22,0.00923674,13.1432,1.57814,-11318.7,0
P,0,120,1994793,22,0.00923674,13.1432,1.57814,-11318.7,0
N,0,121,1994821,-11,0.0326192,-2.4455,3.52041,-11288.9,0
P,0,121,1994821,-11,0.0326192,-2.4455,3.52041,-11288.9,0
N,0,122,1994833,22,0.00184411,-2.34564,3.52541,-11290.3,0
P,0,122,1994833,22,0.00184411,-2.34564,3.52541,-11290.3,0
N,0,123,1994677,2112,1.83472,-3.42897,3.44844,-11291.9,0
P,0,123,1994677,2112,1.83472,-3.42897,3.44844,-11291.9,0
N,0,124,1994675,2212,0.991474,1.03063,3.10542,-11283.4,0
P,0,124,1994675,2212,0.991474,1.03063,3.10542,-11283.4,0
N,0,125,1973605,211,0.82933,-0.619259,-0.349465,-11261.2,1
P,0,125,1973605,211,0.82933,-0.619259,-0.349465,-11261.2,0
N,0,126,1994878,22,0.00164123,16.5365,1.02166,-11284.5,0
P,0,126,1994878,22,0.00164123,16.5365,1.02166,-11284.5,0
N,0,127,1994885,22,0.00582025,0.54892,-3.28397,-11268,0
P,0,127,1994885,22,0.00582025,0.54892,-3.28397,-11268,0
N,0,128,1994860,2212,1.00516,0.0740507,-3.12748,-11268.8,0
P,0,128,1994860,2212,1.00516,0.0740507,-3.12748,-11268.8,0
N,0,129,1994859,-211,0.294009,-1.35093,-2.80687,-11272.6,2
P,0,129,1994859,-211,0.294009,-1.35093,-2.80687,-11272.6,0
N,0,130,1994858,2212,0.969814,-1.36141,-3.28916,-11271,0
P,0,130,1994858,2212,0.969814,-1.36141,-3.28916,-11271,0
N,0,131,1994928,22,0.0560025,15.7349,-3.38563,-11276.8,0
P,0,131,1994928,22,0.0560025,15.7349,-3.38563,-11276.8,0
N,0,132,1994855,2112,1.07622,-1.35543,-3.28636,-11270.7,0
P,0,132,1994855,2112,1.07622,-1.35543,-3.28636,-11270.7,0
N,0,133,1995072,22,0.00188595,1.04098,-3.45188,-11347.7,0
P,0,133,1995072,22,0.00188595,1.04098,-3.45188,-11347.7,0
N,0,134,1995103,22,0.00121609,30.9541,-5.81927,-11391.5,0
P,0,134,1995103,22,0.00121609,30.9541,-5.81927,-11391.5,0
N,0,135,1995296,22,0.00721096,-0.40804,-3.131,-11325.5,0
P,0,135,1995296,22,0.00721096,-0.40804,-3.131,-11325.5,0
N,0,136,1995340,22,0.00700039,-2.50615,-3.53118,-11300.4,0
P,0,136,1995340,22,0.00700039,-2.50615,-3.53118,-11300.4,0
N,0,137,1995344,22,0.00223927,2.20284,-3.5202,-11306.1,0
P,0,137,1995344,22,0.00223927,2.20284,-3.5202,-11306.1,0
N,0,138,1995343,22,0.00576073,1.80285,-3.52984,-11306.4,0
P,0,138,1995343,22,0.00576073,1.80285,-3.52984,-11306.4,0
N,0,139,1995351,22,0.00580079,13.3362,-3.38207,-11296.1,0
P,0,139,1995351,22,0.00580079,13.3362,-3.38207,-11296.1,0
N,0,140,1995326,2112,0.955088,2.00518,-3.13023,-11302.9,0
P,0,140,1995326,2112,0.955088,2.00518,-3.13023,-11302.9,0
N,0,141,1995316,211,0.342526,-2.32673,-2.81054,-11316,2
P,0,141,1995316,211,0.342526,-2.32673,-2.81054,-11316,0
N,0,142,1995440,22,0.00319143,14.1413,4.58516,-11336.9,0
P,0,142,1995440,22,0.00319143,14.1413,4.58516,-11336.9,0
N,0,143,1995450,22,0.00699338,3.5275,-2.64674,-11292.4,0
P,0,143,1995450,22,0.00699338,3.5275,-2.64674,-11292.4,0
N,0,144,1995517,2112,1.04135,13.1389,-0.134423,-11328.3,0
P,0,144,1995517,2112,1.04135,13.1389,-0.134423,-11328.3,0
N,0,145,1995516,2112,1.00191,13.3438,-0.982977,-11328.9,0
P,0,145,1995516,2112,1.00191,13.3438,-0.982977,-11328.9,0
N,0,146,1995515,2112,0.963474,13.144,-0.103132,-11328.4,0
P,0,146,1995515,2112,0.963474,13.144,-0.103132,-11328.4,0
N,0,147,1995544,11,0.0307942,13.3298,-0.587784,-11329.1,0
P,0,147,1995544,11,0.0307942,13.3298,-0.587784,-11329.1,0
N,0,148,1995513,2112,0.97809,13.1434,-0.100063,-11328.3,0
P,0,148,1995513,2112,0.97809,13.1434,-0.100063,-11328.3,0
N,0,149,1995508,211,0.712473,14.5411,5.37929,-11350.3,0
P,0,149,1995508,211,0.712473,14.5411,5.37929,-11350.3,0
N,0,150,1995639,22,0.0014516,1.52748,-3.53119,-11319.9,0
P,0,150,1995639,22,0.0014516,1.52748,-3.53119,-11319.9,0
N,0,151,1995660,22,0.00227562,13.7349,-2.6138,-11284.9,0
P,0,151,1995660,22,0.00227562,13.7349,-2.6138,-11284.9,0
N,0,152,1995698,22,0.0013719,1.33582,-3.52739,-11303.2,0
P,0,152,1995698,22,0.0013719,1.33582,-3.52739,-11303.2,0
N,0,153,1995702,22,0.00227091,3.04624,-3.52846,-11321.9,0
P,0,153,1995702,22,0.00227091,3.04624,-3.52846,-11321.9,0
N,0,154,1995701,22,0.00572909,3.04237,-3.52847,-11321.9,0
P,0,154,1995701,22,0.00572909,3.04237,-3.52847,-11321.9,0
N,0,155,1995748,22,0.00213076,16.3345,-6.00169,-11340,0
P,0,155,1995748,22,0.00213076,16.3345,-6.00169,-11340,0
N,0,156,1995767,22,0.00240094,3.42873,-3.2885,-11331.5,0
P,0,156,1995767,22,0.00240094,3.42873,-3.2885,-11331.5,0
N,0,157,1995770,11,0.00549986,3.55566,-2.03145,-11350.3,0
P,0,157,1995770,11,0.00549986,3.55566,-2.03145,-11350.3,0
N,0,158,1995782,22,0.00967984,2.49215,-3.44761,-11327.6,0
P,0,158,1995782,22,0.00967984,2.49215,-3.44761,-11327.6,0
N,0,159,1995807,22,0.00197105,2.48811,-3.44151,-11335.9,0
P,0,159,1995807,22,0.00197105,2.48811,-3.44151,-11335.9,0
N,0,160,1995825,22,0.00398511,20.1252,-5.79512,-11382.1,0
P,0,160,1995825,22,0.00398511,20.1252,-5.79512,-11382.1,0
N,0,161,1995841,22,0.00248532,18.3438,-6.06589,-11378.1,0
P,0,161,1995841,22,0.00248532,18.3438,-6.06589,-11378.1,0
N,0,162,1995840,22,0.00146038,18.2754,-6.00204,-11379,0
P,0,162,1995840,22,0.00146038,18.2754,-6.00204,-11379,0
N,0,163,1995863,22,0.018034,19.3266,-5.78989,-11376.1,0
P,0,163,1995863,22,0.018034,19.3266,-5.78989,-11376.1,0
N,0,164,1995943,22,4.47969,-3.24822,0.0509303,-11261.2,1
P,0,164,1995943,22,4.47969,-3.24822,0.0509303,-11261.2,0
N,0,165,1997048,11,0.0305212,-3.286,-0.0712269,-11279,0
P,0,165,1997048,11,0.0305212,-3.286,-0.0712269,-11279,0
N,0,166,1997135,22,0.00317287,-1.68607,-3.45274,-11356.1,0
P,0,166,1997135,22,0.00317287,-1.68607,-3.45274,-11356.1,0
N,0,167,1997154,22,0.00153474,17.7423,0.978029,-11333.4,0
P,0,167,1997154,22,0.00153474,17.7423,0.978029,-11333.4,0
N,0,168,1997208,22,0.00111466,-2.63439,-3.52788,-11318,0
P,0,168,1997208,22,0.00111466,-2.63439,-3.52788,-11318,0
N,0,169,1997228,22,0.00344317,-3.52093,-2.33725,-11350.2,0
P,0,169,1997228,22,0.00344317,-3.52093,-2.33725,-11350.2,0
N,0,170,1997235,22,0.00103851,-3.43959,0.548982,-11318.6,0
P,0,170,1997235,22,0.00103851,-3.43959,0.548982,-11318.6,0
N,0,171,1997315,22,0.00229097,-2.14782,-3.44963,-11318.2,0
P,0,171,1997315,22,0.00229097,-2.14782,-3.44963,-11318.2,0
N,0,172,1997341,22,0.00524808,0.866376,-3.43569,-11334.8,0
P,0,172,1997341,22,0.00524808,0.866376,-3.43569,-11334.8,0
N,0,173,1997379,22,0.00128968,2.31598,-2.81062,-11346.4,0
P,0,173,1997379,22,0.00128968,2.31598,-2.81062,-11346.4,0
N,0,174,1997378,22,0.0039445,2.30726,-3.27434,-11346.2,0
P,0,174,1997378,22,0.0039445,2.30726,-3.27434,-11346.2,0
N,0,175,1997391,22,0.0128504,14.1559,-5.42386,-11380.5,0
P,0,175,1997391,22,0.0128504,14.1559,-5.42386,-11380.5,0
N,0,176,1997388,22,0.0147482,14.5306,-5.783,-11380.7,0
P,0,176,1997388,22,0.0147482,14.5306,-5.783,-11380.7,0
N,0,177,1997399,11,0.00337202,15.3599,-5.38592,-11383.6,0
P,0,177,1997399,11,0.00337202,15.3599,-5.38592,-11383.6,0
N,0,178,1997305,22,0.00266056,13.0549,-5.86601,-11341.8,0
P,0,178,1997305,22,0.00266056,13.0549,-5.86601,-11341.8,0
N,0,179,1997461,22,0.0133271,-0.227741,-3.45216,-11353.9,0
P,0,179,1997461,22,0.0133271,-0.227741,-3.45216,-11353.9,0
N,0,180,1997558,22,0.00373001,-0.736035,-2.64263,-11353.4,0
P,0,180,1997558,22,0.00373001,-0.736035,-2.64263,-11353.4,0
N,0,181,1997581,22,0.00385142,-2.37847,-3.47643,-11361.3,0
P,0,181,1997581,22,0.00385142,-2.37847,-3.47643,-11361.3,0
N,0,182,1997754,22,0.00115286,-1.52417,-3.45006,-11345.4,0
P,0,182,1997754,22,0.00115286,-1.52417,-3.45006,-11345.4,0
N,0,183,1997536,22,0.00117664,-3.52113,-3.08954,-11285.6,0
P,0,183,1997536,22,0.00117664,-3.52113,-3.08954,-11285.6,0
N,0,184,1997819,22,0.00270574,-0.0825009,-3.2908,-11316.7,0
P,0,184,1997819,22,0.00270574,-0.0825009,-3.2908,-11316.7,0
N,0,185,1973589,2212,83.8232,1.2547,-0.391657,-11261.2,52
P,0,185,1973589,2212,83.8232,1.2547,-0.391657,-11261.2,1
N,0,186,968,2112,845.96,-0.0304655,-0.0451357,-11261.2,752
P,0,186,968,2112,845.96,-0.0304655,-0.0451357,-11261.2,11
N,0,187,967,2112,377.884,0.0507483,-0.0839508,-11261.2,158
P,0,187,967,2112,377.884,0.0507483,-0.0839508,-11261.2,1
N,0,188,966,2112,981.488,-0.0303398,-0.0994083,-11261.2,795
